"xpos","ypos","coin","emnemy","shot","enemy/shot","level","keyX","keyY","respawn_enemy", "respawn_coin"
111.5,260.2,2,1,6,5,1,8,10,1,2
368.2,190.9,3,0,7,7,1,10,11,0,3
306.6,231.5,1,0,8,8,1,8,3,0,1
450.8,426.8,0,3,4,1,2,15,6,8,5
393.4,421.2,1,2,5,3,2,6,5,2,1
368.0,507.0,0,0,1,1,1,1,1,5,5
383.4,427.5,0,0,5,5,1,8,8,0,0
433.1,354.0,0,3,6,3,1,10,4,3,0
515.7,162.2,3,1,9,8,1,11,8,1,3
279.1,337.9,1,3,8,5,1,4,5,2,1
146.8,375.7,1,3,6,3,2,4,2,9,6
261.6,335.8,0,0,5,5,2,13,3,0,0
265.8,246.9,2,1,6,5,2,10,10,1,2
435.2,361.7,1,3,7,4,2,7,3,3,1
450.6,305.0,1,2,6,4,3,11,9,7,6
496.8,254.6,1,4,9,5,3,9,6,4,1
477.9,466.0,1,1,4,3,3,12,12,1,1
515.0,499.6,1,3,5,2,3,13,9,3,1
441.5,473.7,1,3,5,2,3,10,11,3,1
566.8,503.8,0,0,3,3,4,14,5,5,5
678.8,465.3,2,3,6,3,4,6,4,3,2
676.2,536,0,4,6,2,4,11,1,3,0
719.9,522.0,0,1,4,3,4,7,1,2,0
389.0,434.375,0,0,3,3,1,1,1,5,5
286.8,246.6,0,3,8,5,1,4,5,3,0
454.1,164.0,3,2,10,8,1,7,4,2,3
627.7,273.9,2,0,10,10,1,2,4,0,2
353.3,528.1,0,3,6,3,2,17,1,8,5
449.9,396.0,3,4,6,2,2,10,6,4,3
368.0,500,0,0,0,0,1,0,0,5,5
337.9,447.4,0,0,4,4,1,7,3,0,0
379.9,209.8,2,2,8,6,1,9,7,2,2
483.5,191.6,3,2,9,7,1,10,6,2,3
279.1,144.0,3,3,11,8,1,17,14,2,3
330.9,179.0,3,1,8,7,2,13,10,7,8
386.9,281.9,0,3,8,5,2,14,7,3,0
377.1,390.4,1,1,4,3,2,12,3,1,1
355.4,531.1,1,3,5,2,2,9,3,3,1
312.7,536,0,2,3,1,2,7,0,2,0
195.8,536,3,3,5,2,3,5,10,7,8
194.4,529.7,0,3,4,1,3,16,1,4,0
181.4,536,0,6,8,2,3,13,0,5,0
91.0,536,0,2,4,2,3,16,0,3,0
107.8,528.3,1,3,4,1,3,15,5,3,1
70.0,498.2,0,1,5,4,4,2,18,6,5
377.625,518,0,0,3,3,1,1,2,5,5
537.4,395.3,1,2,6,4,1,7,5,2,1
508.0,287.5,0,0,6,6,1,5,6,0,0
448.5,452.0,0,1,5,4,1,2,0,1,0
433.1,433.8,3,0,4,4,2,4,8,5,8
500.3,391.8,0,2,6,4,2,3,5,2,0
249.7,511.5,0,2,4,2,2,7,6,2,0
183.2,510.1,1,2,4,2,2,5,9,2,1
323.9,501.0,2,3,5,2,2,8,12,3,2
368.0,500,0,0,0,0,1,0,0,5,5
319.0,497.9,0,0,3,3,1,6,2,0,0
247.6,278.8,2,3,8,5,1,10,5,3,2
447.1,214.4,3,0,7,7,1,5,7,0,3
378.5,229.1,2,1,8,7,1,8,6,1,2
512.2,259.2,1,0,7,7,2,4,4,5,6
375.0,285.1,2,1,7,6,2,6,6,1,2
400.9,247.3,1,3,9,6,2,10,3,3,1
314.8,388.0,1,4,7,3,2,9,9,4,1
368.0,500,0,0,0,0,1,0,1,5,5
425.4,534.6,0,0,4,4,1,3,5,0,0
538.8,265.1,3,0,6,6,1,5,3,0,3
400.9,175.5,0,0,5,5,1,7,3,0,0
368.0,500,0,0,0,0,1,0,0,5,5
311.3,420.3,0,1,5,4,1,4,4,0,0
441.5,239.2,1,2,8,6,1,7,8,3,1
221.0,227.3,3,1,8,7,1,9,5,1,3
417.0,377.8,0,2,7,5,1,9,2,2,0
519.9,449.9,3,0,4,4,2,8,6,5,8
292.4,516.4,0,6,6,0,2,11,0,6,0
221.0,536,0,5,6,1,2,11,1,5,0
408.6,536,0,1,3,2,2,7,0,1,0
459.7,536,2,2,5,3,2,9,0,2,2
448.5,536,0,2,4,2,3,16,0,7,5
473.7,536,0,5,6,1,3,21,0,5,0
240.6,536,0,7,7,0,3,22,0,7,0
368.0,500,0,0,0,0,1,0,0,5,5
235.0,481.9,0,0,4,4,1,10,2,0,0
415.6,379.2,0,3,6,3,1,5,9,2,0
325.3,449.2,1,0,5,5,1,9,7,1,1
189.5,405.1,2,4,6,2,1,12,8,4,2
321.1,236.4,1,1,7,6,2,10,12,6,6
276.3,361.0,2,4,7,3,2,7,13,4,2
566.8,508.7,1,5,7,2,2,10,9,5,1
371.5,532.5,0,2,4,2,2,21,1,2,0
280.5,435.9,2,4,6,2,2,15,7,4,2
504.5,533.2,0,2,5,3,3,9,3,6,5
438.0,536,0,1,4,3,3,17,0,2,0
517.8,536,0,4,6,2,3,16,0,4,0
368.0,500,0,0,0,0,1,0,0,5,5
356.1,502.9,0,0,4,4,1,3,7,0,0
377.1,427.5,0,3,5,2,1,5,9,3,0
390.4,246.9,3,2,7,5,1,12,13,2,3
433.1,137.7,2,2,10,8,1,9,13,1,2
340.7,276.3,1,2,7,5,2,14,12,8,6
348.4,267.9,2,5,7,2,2,13,14,4,2
193.0,271.4,3,1,7,6,2,10,16,2,3
421.9,326.0,0,3,7,4,2,9,9,3,0
469.5,293.8,1,0,6,6,2,10,15,0,1
398.1,163.6,2,0,8,8,3,13,12,5,7
608.8,211.9,1,0,6,6,3,13,11,0,1
451.3,341.4,1,3,7,4,3,6,13,3,1
551.4,420.5,0,2,5,3,3,8,9,1,0
624.9,529.0,0,3,4,1,3,15,2,4,0
594.1,536,0,4,5,1,4,18,0,9,5
442.9,536,0,3,5,2,4,19,0,3,0
399.5,519.2,1,2,4,2,4,15,5,2,1
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
293.1,500,0,3,4,1,1,10,0,3,0
203.7,240.3,2,0,0,0,2,3,7,5,7
546.7,492.6,1,6,8,2,2,18,3,6,1
366.1,531.8,4,1,3,2,3,8,3,5,9
420.7,536,1,6,9,3,3,10,2,7,1
420.0,536,1,12,13,1,4,11,2,16,6
380.1,512.2,1,10,11,1,4,20,2,11,1
223.3,475.8,2,10,10,0,5,25,1,14,7
368.0,500,0,0,0,0,1,0,0,5,5
335.1,500,0,2,2,0,1,2,0,2,0
230.1,521.1,3,1,3,2,2,6,4,6,8
501.2,486.3,2,1,1,0,2,6,6,1,2
478.1,536,4,5,7,2,3,16,4,10,9
678.3,464.6,1,6,9,3,3,6,5,6,1
166.9,459.0,3,6,7,1,3,13,3,6,3
536.5,536,1,9,11,2,4,18,4,14,6
610.7,536,0,8,9,1,4,13,1,7,0
228.5,498.9,1,6,6,0,5,9,3,12,6
179.5,519.9,1,2,7,5,5,12,3,2,1
